Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
58,1,N-tert-pentyl-N-phenethylformamide,0.2,oct-4-yne,0.4,"(R)-1-(tert-pentyl)-5-phenyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.23,0.27,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
59,1,"N-phenethyl-N-(2,4,4-trimethylpentan-2-yl)formamide",0.2,oct-4-yne,0.4,"(R)-5-phenyl-3,4-dipropyl-1-(2,4,4-trimethylpentan-2-yl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.2,0.33,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
60,1,"N-(3-phenylpropyl)-N-(2,4,4-trimethylpentan-2-yl)formamide",0.2,oct-4-yne,0.4,"(R)-5-benzyl-3,4-dipropyl-1-(2,4,4-trimethylpentan-2-yl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.17,0.05,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
61,1,"N,N-dicyclobutylformamide",0.2,oct-4-yne,0.4,"(1R,6R)-2-cyclobutyl-4,5-dipropyl-2-azabicyclo[4.2.0]oct-4-en-3-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.72,0.35,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
62,4,N-isopropyl-N-(1-phenylethyl)formamide,0.2,oct-4-yne,0.4,"(R)-6-methyl-1-((R)-1-phenylethyl)-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one","(S)-6-methyl-1-((R)-1-phenylethyl)-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one","1-isopropyl-6-phenyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",R,S,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.07,0.94,0.07,0.89,0.85,0.14,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
63,1,"N,N-dicyclopentylformamide",0.2,oct-4-yne,0.4,"1-cyclopentyl-3,4-dipropyl-1,4a,5,6,7,7a-hexahydro-2H-cyclopenta[b]pyridin-2-one",,,,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.76,0.54,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
64,1,N-isopropyl-N-(pyridin-2-ylmethyl)formamide,0.2,oct-4-yne,0.4,,,,,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
65,1,N-(2-(diphenylphosphaneyl)benzyl)-N-isopropylformamide,0.2,oct-4-yne,0.4,,,,,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
66,1,N-isopropyl-N-tritylformamide,0.2,oct-4-yne,0.4,,,,,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
67,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,dimethylaluminum chloride,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
68,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,trimethylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.36,0.87,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
